,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Gornopravdinsk,60.05,69.9,45.0,78,100,6.38,RU,1630106712
1,Ilo,-17.6394,-71.3375,59.25,81,58,6.17,PE,1630106713
2,Nikolskoye,59.7035,30.7861,60.69,84,97,6.8,RU,1630106713
3,Barrow,71.2906,-156.7887,41.02,70,90,26.46,US,1630106713
4,Bekhtery,46.251,32.2927,68.99,70,0,2.8,UA,1630106713
5,Ushuaia,-54.8,-68.3,38.86,56,75,19.57,AR,1630106703
6,Noumea,-22.2763,166.4572,80.58,64,0,3.87,NC,1630106714
7,Tiksi,71.6872,128.8694,36.05,99,100,7.94,RU,1630106714
8,Poum,-20.2333,164.0167,74.73,73,27,7.36,NC,1630106714
9,Arrecife,28.963,-13.5477,73.47,83,20,19.57,ES,1630106658
10,Hermanus,-34.4187,19.2345,45.81,75,82,11.63,ZA,1630106715
11,San Cristobal,7.7669,-72.225,71.78,78,38,3.33,VE,1630106715
12,Atuona,-9.8,-139.0333,78.08,78,4,16.15,PF,1630106715
13,Busselton,-33.65,115.3333,49.08,82,100,9.4,AU,1630106715
14,Vostok,46.4856,135.8833,60.73,86,14,5.32,RU,1630106716
15,Arraial do Cabo,-22.9661,-42.0278,70.5,87,89,12.37,BR,1630106716
16,Kloulklubed,7.0419,134.2556,82.9,73,58,7.81,PW,1630106716
17,Rikitea,-23.1203,-134.9692,73.71,78,4,18.05,PF,1630106717
18,Hobart,-42.8794,147.3294,47.23,91,75,1.01,AU,1630106717
19,Røros,62.5747,11.3842,31.84,93,1,3.44,NO,1630106717
20,Katherine,-14.4667,132.2667,70.12,46,21,6.91,AU,1630106717
21,Ixtapa,20.7,-105.2,85.23,74,90,5.75,MX,1630106718
22,Saint-Augustin,51.226,-58.6502,52.65,72,62,22.91,CA,1630106718
23,Neuquén,-38.9516,-68.0591,53.49,50,0,3.44,AR,1630106718
24,Lüderitz,-26.6481,15.1594,51.35,63,1,10.25,NA,1630106718
25,Port Lincoln,-34.7333,135.8667,52.95,76,66,18.34,AU,1630106719
26,Ponta do Sol,32.6667,-17.1,73.71,69,33,2.71,PT,1630106719
27,Vanimo,-2.6741,141.3028,80.28,83,45,6.26,PG,1630106719
28,Saint Paul Harbor,57.79,-152.4072,60.31,51,40,14.97,US,1630106719
29,The Valley,18.217,-63.0578,85.86,79,40,13.8,AI,1630106720
30,Torbay,47.6666,-52.7314,66.27,96,90,13.8,CA,1630106720
31,Forsytheganj,52.6333,29.7333,56.48,89,49,0.98,BY,1630106720
32,Castro,-24.7911,-50.0119,54.63,98,100,7.29,BR,1630106721
33,Puerto Ayora,-0.7393,-90.3518,69.55,87,81,5.01,EC,1630106721
34,Gorontalo,0.5412,123.0595,76.28,92,90,1.23,ID,1630106721
35,Saint George,37.1041,-113.5841,104.47,9,1,5.99,US,1630106721
36,Yangi Marg`ilon,40.4272,71.7189,74.12,43,92,6.91,UZ,1630106722
37,Port Alfred,-33.5906,26.891,52.84,64,97,21.85,ZA,1630106722
38,Bathsheba,13.2167,-59.5167,83.01,83,40,17.27,BB,1630106722
39,Albany,42.6001,-73.9662,80.55,70,39,5.17,US,1630106722
40,Erzin,36.9559,36.2,79.0,67,0,1.16,TR,1630106723
41,Beloha,-25.1667,45.05,66.42,64,0,10.63,MG,1630106723
42,Cape Town,-33.9258,18.4232,46.11,91,40,9.22,ZA,1630106723
43,Vestmannaeyjar,63.4427,-20.2734,54.43,90,100,12.73,IS,1630106723
44,San Ramon,37.7799,-121.978,103.23,23,90,1.99,US,1630106592
45,Yeniseysk,58.4497,92.1703,55.36,95,6,3.13,RU,1630106724
46,Asău,46.4333,26.4,61.75,87,29,5.44,RO,1630106724
47,Bengkulu,-3.8004,102.2655,73.71,84,90,5.32,ID,1630106724
48,Naberera,-4.2,36.9333,57.25,75,3,6.62,TZ,1630106725
49,Kudahuvadhoo,2.6708,72.8944,81.63,77,40,14.56,MV,1630106725
50,Requena,39.4883,-1.1004,72.14,31,0,6.31,ES,1630106725
51,Deder,9.3167,41.45,59.68,68,56,6.2,ET,1630106725
52,Kaitangata,-46.2817,169.8464,48.25,87,100,7.29,NZ,1630106726
53,Avera,33.194,-82.5271,83.71,59,100,5.88,US,1630106726
54,Caceres,39.522,-6.3748,69.8,59,1,7.94,ES,1630106726
55,Port Elizabeth,-33.918,25.5701,50.29,53,0,12.66,ZA,1630106435
56,La Libertad,-2.2333,-80.9,69.46,88,90,11.5,EC,1630106727
57,Caucaia,-3.7361,-38.6531,80.55,74,0,11.5,BR,1630106727
58,George Town,5.4112,100.3354,78.89,89,20,0.0,MY,1630106727
59,Vila Velha,-20.3297,-40.2925,75.15,78,75,10.36,BR,1630106728
60,Abu Samrah,35.3029,37.1841,81.66,26,0,5.48,SY,1630106728
61,Mahébourg,-20.4081,57.7,71.89,88,75,17.27,MU,1630106728
62,Butaritari,3.0707,172.7902,83.3,73,40,11.25,KI,1630106729
63,Samarai,-10.6167,150.6667,80.04,85,81,13.42,PG,1630106729
64,Kapaa,22.0752,-159.319,85.98,66,20,3.0,US,1630106729
65,Tuktoyaktuk,69.4541,-133.0374,51.8,87,75,10.36,CA,1630106730
66,Kharp,66.8014,65.8081,42.73,84,93,7.85,RU,1630106730
67,Huari,-9.3333,-77.2333,48.47,72,100,3.74,PE,1630106730
68,Port Hardy,50.6996,-127.4199,59.18,88,75,3.44,CA,1630106730
69,Vaini,-21.2,-175.2,73.56,68,40,11.5,TO,1630106731
70,Richards Bay,-28.783,32.0377,68.05,80,68,10.13,ZA,1630106731
71,Novobelokatay,55.7062,58.9549,49.5,83,84,10.85,RU,1630106731
72,Airai,-8.9266,125.4092,64.2,46,100,3.83,TL,1630106732
73,Cetraro,39.5166,15.9416,71.24,78,39,4.36,IT,1630106732
74,São Filipe,14.8961,-24.4956,78.22,84,30,7.67,CV,1630106732
